N1,N2,T_split,MigRate,Fst,dxy,segsites1,segsites2,pi1,pi2,tajima1,tajima2
150000,5000,9038,0,0.18942109519511963,0.09862071999999864,0.3899,0.1529,0.09731199999999761,0.03710612244898055,0.4321624171899783,0.3185003884033525
150000,5000,11952,0,0.18997930787729944,0.10215535999999888,0.371,0.0986,0.09857820408163076,0.0404964081632655,0.6968582709827849,3.0695868252746696
150000,5000,7919,0,0.25928916751817865,0.09715671999999832,0.3862,0.0938,0.09242097959183469,0.02187371428571447,0.2635282506126705,0.16275881235343975
150000,5000,8170,0,0.169467080846199,0.10696455999999835,0.3986,0.1248,0.10191330612244631,0.050015020408164045,0.5322381207517537,2.9086009363708447
150000,5000,8644,0,0.11025609814768322,0.09862079999999833,0.4073,0.1445,0.09695281632652752,0.06111387755102064,0.24268022403937772,3.2730549458214337
150000,5000,6995,0,0.18824981539148244,0.09777183999999882,0.3805,0.1416,0.09474457142856946,0.038840653061224126,0.42260454180710816,0.8366600746188751
150000,5000,8119,0,0.16268052811148925,0.10042295999999849,0.4115,0.1486,0.0995459591836703,0.04509583673469529,0.30624418810593107,1.3149677871952337
150000,5000,7310,0,0.09287796142907412,0.10369527999999853,0.3999,0.1848,0.09702473469387478,0.07511575510204142,0.31793292811701623,3.0046598594198537
150000,5000,7003,0,0.12205725729606154,0.10757511999999851,0.4093,0.1885,0.10162048979591588,0.06672171428571441,0.4107870930551522,2.1436090983960483
150000,5000,9617,0,0.22285275154473672,0.09946103999999853,0.3884,0.1223,0.09542653061224242,0.030992408163265487,0.3682994435650586,0.49415475898882255
150000,5000,8075,0,0.16294076416045378,0.09615327999999851,0.4007,0.1482,0.09629967346938564,0.042118367346938905,0.28027960132757024,0.9990480851343921
150000,5000,7449,0,0.3312536923537136,0.0985147999999985,0.3947,0.0467,0.09710465306122208,0.0018718367346938552,0.3737218205019686,-2.988587663420186
150000,5000,4963,0,0.10307491579241923,0.10304151999999854,0.4146,0.1953,0.10176473469387438,0.06580416326530622,0.36440258557916716,1.8645504671794706
150000,5000,11939,0,0.1465114498467457,0.09518687999999863,0.3815,0.109,0.09241167346938538,0.04930677551020417,0.3115180696709953,3.7526166878696094
150000,5000,6390,0,0.21087609430566534,0.09856231999999822,0.3885,0.1528,0.09231534693877322,0.03615012244898022,0.2358111755882682,0.21853684053802988
150000,5000,11246,0,0.2621860121080185,0.09559183999999822,0.3895,0.0746,0.09363306122448703,0.018123836734694303,0.28132955868437626,0.3221281969109026
150000,5000,4378,0,0.0689453077827813,0.10542631999999771,0.4349,0.1956,0.10325828571428249,0.08039502040816389,0.23271318167312152,3.0795233546882814
150000,5000,5041,0,0.10220211453136485,0.09965591999999797,0.4247,0.2088,0.10005363265305832,0.062295673469387136,0.20244941204797182,1.2317995969849584
150000,5000,11120,0,0.18561155900692528,0.09727615999999849,0.3644,0.0765,0.09471199999999792,0.03892465306122438,0.601693568470875,4.671631175564254
150000,5000,10576,0,0.34227876311635796,0.09793999999999882,0.3895,0.0003,0.09596987755101806,1.2e-05,0.3798088520685767,-1.6960255098178938
150000,5000,9102,0,0.1729177834760074,0.10001927999999925,0.3867,0.0992,0.09542571428571207,0.045631346938776345,0.38599267982514995,3.876592798158926
150000,5000,3710,0,0.06868347167957023,0.09478671999999849,0.407,0.1953,0.09385746938775258,0.07134848979591804,0.12071897049434495,2.330155384070728
150000,5000,2612,0,0.06780787546321376,0.1011677599999983,0.4248,0.2222,0.10018571428571163,0.07645240816326454,0.20664312368937635,1.9819072247061618
150000,5000,7838,0,0.14446800219009082,0.10011775999999858,0.3903,0.1366,0.09658555102040615,0.053097877551020294,0.39741251517710713,2.711742986806689
150000,5000,9036,0,0.16371863871401848,0.10179151999999886,0.4057,0.1358,0.0999671836734669,0.04633338775510139,0.38005395056936314,1.9328534910620818
150000,5000,10889,0,0.33898008796010737,0.10100687999999872,0.3911,0.0072,0.09942963265305899,0.00029934693877551043,0.5084710477359389,-2.859254414952004
150000,5000,7807,0,0.09852348911946718,0.09766679999999837,0.3856,0.1584,0.09402955102040594,0.06626620408163233,0.338114380702094,3.1985046304951994
150000,5000,8863,0,0.17155812227699807,0.09654351999999858,0.3823,0.1153,0.09215599999999811,0.04438130612244915,0.29222084539782933,2.648470488317175
150000,5000,6704,0,0.29700809132473327,0.10751159999999822,0.4372,0.0635,0.10488489795918056,0.01165991836734699,0.27328558232796574,-0.6478138397831079
150000,5000,8680,0,0.34264972797539484,0.0957739999999986,0.3932,0.0001,0.09377632653061,4e-06,0.2501811537925738,-1.1027964465679785
150000,5000,6281,0,0.0992250400156256,0.09791391999999856,0.3903,0.1535,0.09240791836734447,0.06806587755102032,0.22171717575635577,3.609429064033472
150000,5000,8260,0,0.10522221666978948,0.1008529599999986,0.3944,0.162,0.09921330612244655,0.06408595918367371,0.46455414833596775,2.8255712466658895
150000,5000,6335,0,0.11703967456184805,0.10153679999999848,0.4122,0.1442,0.10152391836734437,0.05899493877551057,0.37827028955123015,3.046599030880537
150000,5000,9886,0,0.11654267177864441,0.10301271999999817,0.4074,0.1539,0.10092922448979312,0.062087102040815786,0.4019399771286008,2.953682514849199
150000,5000,6994,0,0.09835842494475333,0.0961663199999984,0.4034,0.1546,0.09705583673469127,0.06082987755101972,0.2846463374558015,2.7904475548291807
150000,5000,5766,0,0.11933990390396965,0.09752943999999886,0.3981,0.1521,0.09533232653061001,0.05813363265306208,0.26615618460431595,2.605770184304693
150000,5000,7428,0,0.15362776462115968,0.09689999999999878,0.3906,0.1212,0.09500048979591595,0.04718310204081664,0.3276824443694174,2.7205814705479163
150000,5000,5332,0,0.11112826612393811,0.09063671999999842,0.3953,0.1898,0.09086448979591567,0.05414922448979646,0.10847194380007143,1.0175095106869168
150000,5000,9170,0,0.186510489264739,0.10989023999999802,0.4155,0.10549999999999998,0.10292816326530385,0.047756653061225396,0.40163982355139755,3.7573924775884344
150000,5000,7577,0,0.14513557532722465,0.10245015999999807,0.4016,0.1794,0.09996930612244664,0.05299248979591998,0.4214310784168227,1.1828900969241238
150000,5000,9340,0,0.22297687677345734,0.09553871999999926,0.3817,0.0835,0.0938279183673447,0.027573877551020677,0.3703375822689972,1.750598733605721
150000,5000,10445,0,0.11420752353890085,0.10271567999999848,0.3964,0.1564,0.09834571428571208,0.06497175510204126,0.4077959260858272,3.1504384805574666
150000,5000,7625,0,0.33094325557997795,0.09212783999999838,0.3903,0.005,0.09018416326530405,0.0024400000000000008,0.1281944943987023,4.093181623689037
150000,5000,5841,0,0.11510965303863341,0.1048387999999983,0.4236,0.2152,0.10272775510203853,0.06366097959183596,0.31612074344453417,1.190379216777241
